,No_ID,Site,Genotype,Stage,Plot,Plant,Date,Compartment,Name_Id,Timepoint,Type,IsolationMethod,ID,is.neg
MRF.Eclipse.senesc.1.3.rhizosphere_S34_L001,63,MRC,Eclipse,senesc,1,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_1_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.1.3.rhizosphere_S34_L001,FALSE
MRF.Eclipse.senesc.2.3.rhizoplane_S105_L001,191,MRC,Eclipse,senesc,2,3,9/6/18,rhizoplane,MRF_Eclipse_senesc_2_3_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.2.3.rhizoplane_S105_L001,FALSE
MRF.Eclipse.senesc.2.3.rhizosphere_S19_L001,66,MRC,Eclipse,senesc,2,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_2_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.2.3.rhizosphere_S19_L001,FALSE
MRF.Eclipse.senesc.3.1.rhizoplane_S99_L001,192,MRC,Eclipse,senesc,3,1,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_1_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.1.rhizoplane_S99_L001,FALSE
MRF.Eclipse.senesc.3.1.rhizosphere_S62_L001,67,MRC,Eclipse,senesc,3,1,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_1_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.1.rhizosphere_S62_L001,FALSE
MRF.Eclipse.senesc.3.2.rhizoplane_S20_L001,193,MRC,Eclipse,senesc,3,2,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_2_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.2.rhizoplane_S20_L001,FALSE
MRF.Eclipse.senesc.3.2.rhizosphere_S116_L001,68,MRC,Eclipse,senesc,3,2,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_2_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.2.rhizosphere_S116_L001,FALSE
MRF.Eclipse.senesc.3.3.rhizoplane_S12_L001,194,MRC,Eclipse,senesc,3,3,9/6/18,rhizoplane,MRF_Eclipse_senesc_3_3_rhizoplane,5,sample,Griffith,MRF.Eclipse.senesc.3.3.rhizoplane_S12_L001,FALSE
MRF.Eclipse.senesc.3.3.rhizosphere_S55_L001,69,MRC,Eclipse,senesc,3,3,9/6/18,rhizosphere,MRF_Eclipse_senesc_3_3_rhizosphere,5,sample,Griffith,MRF.Eclipse.senesc.3.3.rhizosphere_S55_L001,FALSE
MRF.Eclipse.V2.1.1.rhizoplane_S84_L001,136,MRC,Eclipse,V2,1,1,7/2/18,rhizoplane,MRF_Eclipse_V2_1_1_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.1.rhizoplane_S84_L001,FALSE
MRF.Eclipse.V2.1.1.rhizosphere_S12_L001,92,MRC,Eclipse,V2,1,1,7/2/18,rhizosphere,MRF_Eclipse_V2_1_1_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.1.rhizosphere_S12_L001,FALSE
MRF.Eclipse.V2.1.2.rhizoplane_S89_L001,137,MRC,Eclipse,V2,1,2,7/2/18,rhizoplane,MRF_Eclipse_V2_1_2_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.2.rhizoplane_S89_L001,FALSE
MRF.Eclipse.V2.1.2.rhizosphere_S65_L001,93,MRC,Eclipse,V2,1,2,7/2/18,rhizosphere,MRF_Eclipse_V2_1_2_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.2.rhizosphere_S65_L001,FALSE
MRF.Eclipse.V2.1.3.rhizoplane_S93_L001,219,MRC,Eclipse,V2,1,3,7/2/18,rhizoplane,MRF_Eclipse_V2_1_3_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.1.3.rhizoplane_S93_L001,FALSE
MRF.Eclipse.V2.1.3.rhizosphere_S111_L001,94,MRC,Eclipse,V2,1,3,7/2/18,rhizosphere,MRF_Eclipse_V2_1_3_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.1.3.rhizosphere_S111_L001,FALSE
MRF.Eclipse.V2.2.1.rhizoplane_S77_L001,138,MRC,Eclipse,V2,2,1,7/2/18,rhizoplane,MRF_Eclipse_V2_2_1_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.2.1.rhizoplane_S77_L001,FALSE
MRF.Eclipse.V2.2.1.rhizosphere_S26_L001,95,MRC,Eclipse,V2,2,1,7/2/18,rhizosphere,MRF_Eclipse_V2_2_1_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.2.1.rhizosphere_S26_L001,FALSE
MRF.Eclipse.V2.2.2.rhizoplane_S39_L001,139,MRC,Eclipse,V2,2,2,7/2/18,rhizoplane,MRF_Eclipse_V2_2_2_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.2.2.rhizoplane_S39_L001,FALSE
MRF.Eclipse.V2.2.2.rhizosphere_S7_L001,96,MRC,Eclipse,V2,2,2,7/2/18,rhizosphere,MRF_Eclipse_V2_2_2_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.2.2.rhizosphere_S7_L001,FALSE
MRF.Eclipse.V2.2.3.rhizoplane_S11_L001,140,MRC,Eclipse,V2,2,3,7/2/18,rhizoplane,MRF_Eclipse_V2_2_3_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.2.3.rhizoplane_S11_L001,FALSE
MRF.Eclipse.V2.2.3.rhizosphere_S98_L001,97,MRC,Eclipse,V2,2,3,7/2/18,rhizosphere,MRF_Eclipse_V2_2_3_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.2.3.rhizosphere_S98_L001,FALSE
MRF.Eclipse.V2.3.1.rhizoplane_S104_L001,141,MRC,Eclipse,V2,3,1,7/2/18,rhizoplane,MRF_Eclipse_V2_3_1_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.3.1.rhizoplane_S104_L001,FALSE
MRF.Eclipse.V2.3.1.rhizosphere_S72_L001,98,MRC,Eclipse,V2,3,1,7/2/18,rhizosphere,MRF_Eclipse_V2_3_1_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.3.1.rhizosphere_S72_L001,FALSE
MRF.Eclipse.V2.3.2.rhizoplane_S56_L001,142,MRC,Eclipse,V2,3,2,7/2/18,rhizoplane,MRF_Eclipse_V2_3_2_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.3.2.rhizoplane_S56_L001,FALSE
MRF.Eclipse.V2.3.2.rhizosphere_S81_L001,99,MRC,Eclipse,V2,3,2,7/2/18,rhizosphere,MRF_Eclipse_V2_3_2_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.3.2.rhizosphere_S81_L001,FALSE
MRF.Eclipse.V2.3.3.rhizoplane_S69_L001,143,MRC,Eclipse,V2,3,3,7/2/18,rhizoplane,MRF_Eclipse_V2_3_3_rhizoplane,1,sample,Griffith,MRF.Eclipse.V2.3.3.rhizoplane_S69_L001,FALSE
MRF.Eclipse.V2.3.3.rhizosphere_S60_L001,100,MRC,Eclipse,V2,3,3,7/2/18,rhizosphere,MRF_Eclipse_V2_3_3_rhizosphere,1,sample,Griffith,MRF.Eclipse.V2.3.3.rhizosphere_S60_L001,FALSE
MRF.Eclipse.V5.1.1.rhizoplane_S90_L001,161,MRC,Eclipse,V5,1,1,7/10/18,rhizoplane,MRF_Eclipse_V5_1_1_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.1.1.rhizoplane_S90_L001,FALSE
MRF.Eclipse.V5.1.1.rhizosphere_S57_L001,36,MRC,Eclipse,V5,1,1,7/10/18,rhizosphere,MRC_Eclipse_V5_1_1_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.1.1.rhizosphere_S57_L001,FALSE
MRF.Eclipse.V5.1.2.rhizoplane_S26_L001,162,MRC,Eclipse,V5,1,2,7/10/18,rhizoplane,MRF_Eclipse_V5_1_2_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.1.2.rhizoplane_S26_L001,FALSE
MRF.Eclipse.V5.1.2.rhizosphere_S18_L001,37,MRC,Eclipse,V5,1,2,7/10/18,rhizosphere,MRC_Eclipse_V5_1_2_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.1.2.rhizosphere_S18_L001,FALSE
MRF.Eclipse.V5.1.3.rhizoplane_S119_L001,163,MRC,Eclipse,V5,1,3,7/10/18,rhizoplane,MRF_Eclipse_V5_1_3_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.1.3.rhizoplane_S119_L001,FALSE
MRF.Eclipse.V5.1.3.rhizosphere_S88_L001,38,MRC,Eclipse,V5,1,3,7/10/18,rhizosphere,MRF_Eclipse_V5_1_3_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.1.3.rhizosphere_S88_L001,FALSE
MRF.Eclipse.V5.2.1.rhizoplane_S132_L001,164,MRC,Eclipse,V5,2,1,7/10/18,rhizoplane,MRF_Eclipse_V5_2_1_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.2.1.rhizoplane_S132_L001,FALSE
MRF.Eclipse.V5.2.1.rhizosphere_S95_L001,39,MRC,Eclipse,V5,2,1,7/10/18,rhizosphere,MRF_Eclipse_V5_2_1_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.2.1.rhizosphere_S95_L001,FALSE
MRF.Eclipse.V5.2.2.rhizoplane_S103_L001,165,MRC,Eclipse,V5,2,2,7/10/18,rhizoplane,MRF_Eclipse_V5_2_2_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.2.2.rhizoplane_S103_L001,FALSE
MRF.Eclipse.V5.2.2.rhizosphere_S46_L001,40,MRC,Eclipse,V5,2,2,7/10/18,rhizosphere,MRF_Eclipse_V5_2_2_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.2.2.rhizosphere_S46_L001,FALSE
MRF.Eclipse.V5.2.3.rhizoplane_S47_L001,166,MRC,Eclipse,V5,2,3,7/10/18,rhizoplane,MRF_Eclipse_V5_2_3_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.2.3.rhizoplane_S47_L001,FALSE
MRF.Eclipse.V5.2.3.rhizosphere_S112_L001,41,MRC,Eclipse,V5,2,3,7/10/18,rhizosphere,MRF_Eclipse_V5_2_3_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.2.3.rhizosphere_S112_L001,FALSE
MRF.Eclipse.V5.3.1.rhizoplane_S63_L001,167,MRC,Eclipse,V5,3,1,7/10/18,rhizoplane,MRF_Eclipse_V5_3_1_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.3.1.rhizoplane_S63_L001,FALSE
MRF.Eclipse.V5.3.1.rhizosphere_S89_L001,42,MRC,Eclipse,V5,3,1,7/10/18,rhizosphere,MRF_Eclipse_V5_3_1_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.3.1.rhizosphere_S89_L001,FALSE
MRF.Eclipse.V5.3.2.rhizoplane_S120_L001,168,MRC,Eclipse,V5,3,2,7/10/18,rhizoplane,MRF_Eclipse_V5_3_2_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.3.2.rhizoplane_S120_L001,FALSE
MRF.Eclipse.V5.3.2.rhizosphere_S75_L001,43,MRC,Eclipse,V5,3,2,7/10/18,rhizosphere,MRF_Eclipse_V5_3_2_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.3.2.rhizosphere_S75_L001,FALSE
MRF.Eclipse.V5.3.3.rhizoplane_S130_L001,169,MRC,Eclipse,V5,3,3,7/10/18,rhizoplane,MRF_Eclipse_V5_3_3_rhizoplane,2,sample,Griffith,MRF.Eclipse.V5.3.3.rhizoplane_S130_L001,FALSE
MRF.Eclipse.V5.3.3.rhizosphere_S41_L001,44,MRC,Eclipse,V5,3,3,7/10/18,rhizosphere,MRF_Eclipse_V5_3_3_rhizosphere,2,sample,Griffith,MRF.Eclipse.V5.3.3.rhizosphere_S41_L001,FALSE
MRF.PowerSoil.120_S9_L001,120,MRC,Eclipse,V2,2,3,7/2/18,rhizosphere,MRF_extracted by PowerSoil_120,2,test,PowerSoil,MRF.PowerSoil.120_S9_L001,FALSE
MRF.PowerSoil.124_S40_L001,124,MRC,Eclipse,V2,3,2,7/2/18,rhizosphere,MRF_extracted by PowerSoil_124,2,test,PowerSoil,MRF.PowerSoil.124_S40_L001,FALSE
MRF.PowerSoil.36_S135_L001,36,MRC,Eclipse,V5,1,1,7/10/18,rhizosphere,MRF_extracted by PowerSoil_36,2,test,PowerSoil,MRF.PowerSoil.36_S135_L001,FALSE
MRF.PowerSoil.44_S50_L001,44,MRC,Eclipse,V5,3,3,7/10/18,rhizosphere,MRF_extracted by PowerSoil_44,2,test,PowerSoil,MRF.PowerSoil.44_S50_L001,FALSE
MRF.PowerSoil.61_S43_L001,61,MRC,Eclipse,pod,1,1,9/6/18,rhizosphere,MRF_extracted by PowerSoil_61,4,test,PowerSoil,MRF.PowerSoil.61_S43_L001,FALSE
MRF.PowerSoil.63_S35_L001,63,MRC,Eclipse,senesc,1,3,9/6/18,rhizosphere,MRF_extracted by PowerSoil_63,5,test,PowerSoil,MRF.PowerSoil.63_S35_L001,FALSE
MRF.PowerSoil.97_S134_L001,97,MRC,CELRK,V5,2,1,7/10/18,rhizosphere,MRF_extracted by PowerSoil_97,1,test,PowerSoil,MRF.PowerSoil.97_S134_L001,FALSE
MRF.PowerSoil.99_S8_L001,99,MRC,CELRK,V5,3,2,7/10/18,rhizosphere,MRF_extracted by PowerSoil_99,1,test,PowerSoil,MRF.PowerSoil.99_S8_L001,FALSE
SVERC.CELRK.dry.1.1.rhizoplane_S102_L001,226,SVERC,CELRK,dry,1,1,9/13/18,rhizoplane,SVERC_CELRK_dry_1_1_rhizoplane,6,sample,PowerSoil,SVERC.CELRK.dry.1.1.rhizoplane_S102_L001,FALSE
SVERC.CELRK.dry.1.1.rhizosphere_S90_L001,101,SVERC,CELRK,dry,1,1,9/13/18,rhizosphere,SVERC_CELRK_dry_1_1_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.1.1.rhizosphere_S90_L001,FALSE
SVERC.CELRK.dry.1.2.rhizosphere_S77_L001,102,SVERC,CELRK,dry,1,2,9/13/18,rhizosphere,SVERC_CELRK_dry_1_2_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.1.2.rhizosphere_S77_L001,FALSE
SVERC.CELRK.dry.1.3.rhizoplane_S53_L001,228,SVERC,CELRK,dry,1,3,9/13/18,rhizoplane,SVERC_CELRK_dry_1_3_rhizoplane,6,sample,PowerSoil,SVERC.CELRK.dry.1.3.rhizoplane_S53_L001,FALSE
SVERC.CELRK.dry.1.3.rhizosphere_S48_L001,103,SVERC,CELRK,dry,1,3,9/13/18,rhizosphere,SVERC_CELRK_dry_1_3_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.1.3.rhizosphere_S48_L001,FALSE
SVERC.CELRK.dry.2.1.rhizoplane_S57_L001,229,SVERC,CELRK,dry,2,1,9/13/18,rhizoplane,SVERC_CELRK_dry_2_1_rhizoplane,6,sample,PowerSoil,SVERC.CELRK.dry.2.1.rhizoplane_S57_L001,FALSE
SVERC.CELRK.dry.2.1.rhizosphere_S13_L001,104,SVERC,CELRK,dry,2,1,9/13/18,rhizosphere,SVERC_CELRK_dry_2_1_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.2.1.rhizosphere_S13_L001,FALSE
SVERC.CELRK.dry.2.2.rhizoplane_S58_L001,230,SVERC,CELRK,dry,2,2,9/13/18,rhizoplane,SVERC_CELRK_dry_2_2_rhizoplane,6,sample,PowerSoil,SVERC.CELRK.dry.2.2.rhizoplane_S58_L001,FALSE
SVERC.CELRK.dry.2.2.rhizosphere_S47_L001,105,SVERC,CELRK,dry,2,2,9/13/18,rhizosphere,SVERC_CELRK_dry_2_2_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.2.2.rhizosphere_S47_L001,FALSE
SVERC.CELRK.dry.3.1.rhizosphere_S74_L001,106,SVERC,CELRK,dry,3,1,9/13/18,rhizosphere,SVERC_CELRK_dry_3_1_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.3.1.rhizosphere_S74_L001,FALSE
SVERC.CELRK.dry.3.2.rhizosphere_S63_L001,107,SVERC,CELRK,dry,3,2,9/13/18,rhizosphere,SVERC_CELRK_dry_3_2_rhizosphere,6,sample,PowerSoil,SVERC.CELRK.dry.3.2.rhizosphere_S63_L001,FALSE
SVERC.CELRK.flow.3.1.rhizoplane_S126_L001,183,SVERC,CELRK,flow,3,1,8/23/18,rhizoplane,SVERC_CELRK_flow_3_1_rhizoplane,3,sample,PowerSoil,SVERC.CELRK.flow.3.1.rhizoplane_S126_L001,FALSE
SVERC.CELRK.flow.3.1.rhizosphere_S71_L001,58,SVERC,CELRK,flow,3,1,8/23/18,rhizosphere,SVERC_CELRK_flow_3_1_rhizosphere,3,sample,PowerSoil,SVERC.CELRK.flow.3.1.rhizosphere_S71_L001,FALSE
SVERC.CELRK.flow.pod.2.2.rhizoplane_S117_L001,182,SVERC,CELRK,flow/pod,2,2,8/23/18,rhizoplane,SVERC_CELRK_flow_pod_2_2_rhizoplane,3,sample,PowerSoil,SVERC.CELRK.flow.pod.2.2.rhizoplane_S117_L001,FALSE
SVERC.CELRK.flow.pod.2.2.rhizosphere_S80_L001,57,SVERC,CELRK,flow/pod,2,2,8/23/18,rhizosphere,SVERC_CELRK_flow_pod_2_2_rhizosphere,3,sample,PowerSoil,SVERC.CELRK.flow.pod.2.2.rhizosphere_S80_L001,FALSE
SVERC.CELRK.flow.pod.3.3.rhizoplane_S107_L001,185,SVERC,CELRK,flow/pod,3,3,8/23/18,rhizoplane,SVERC_CELRK_flow_pod_3_3_rhizoplane,3,sample,PowerSoil,SVERC.CELRK.flow.pod.3.3.rhizoplane_S107_L001,FALSE
SVERC.CELRK.flow.pod.3.3.rhizosphere_S119_L001,60,SVERC,CELRK,flow/pod,3,3,8/23/18,rhizosphere,SVERC_CELRK_flow_pod_3_3_rhizosphere,3,sample,PowerSoil,SVERC.CELRK.flow.pod.3.3.rhizosphere_S119_L001,FALSE
SVERC.CELRK.pod.1.1.rhizoplane_S127_L001,179,SVERC,CELRK,pod,1,1,8/23/18,rhizoplane,SVERC_CELRK_pod_1_1_rhizoplane,4,sample,PowerSoil,SVERC.CELRK.pod.1.1.rhizoplane_S127_L001,FALSE
SVERC.CELRK.pod.1.1.rhizosphere_S123_L001,54,SVERC,CELRK,pod,1,1,8/23/18,rhizosphere,SVERC_CELRK_pod_1_1_rhizosphere,4,sample,PowerSoil,SVERC.CELRK.pod.1.1.rhizosphere_S123_L001,FALSE
SVERC.CELRK.pod.1.2.rhizoplane_S72_L001,180,SVERC,CELRK,pod,1,2,8/23/18,rhizoplane,SVERC_CELRK_pod_1_2_rhizoplane,4,sample,PowerSoil,SVERC.CELRK.pod.1.2.rhizoplane_S72_L001,FALSE
SVERC.CELRK.pod.1.2.rhizosphere_S102_L001,55,SVERC,CELRK,pod,1,2,8/23/18,rhizosphere,SVERC_CELRK_pod_1_2_rhizosphere,4,sample,PowerSoil,SVERC.CELRK.pod.1.2.rhizosphere_S102_L001,FALSE
SVERC.CELRK.pod.2.1.rhizoplane_S79_L001,181,SVERC,CELRK,pod,2,1,8/23/18,rhizoplane,SVERC_CELRK_pod_2_1_rhizoplane,4,sample,PowerSoil,SVERC.CELRK.pod.2.1.rhizoplane_S79_L001,FALSE
SVERC.CELRK.pod.2.1.rhizosphere_S9_L001,56,SVERC,CELRK,pod,2,1,8/23/18,rhizosphere,SVERC_CELRK_pod_2_1_rhizosphere,4,sample,PowerSoil,SVERC.CELRK.pod.2.1.rhizosphere_S9_L001,FALSE
SVERC.CELRK.pod.3.2.rhizoplane_S98_L001,184,SVERC,CELRK,pod,3,2,8/23/18,rhizoplane,SVERC_CELRK_pod_3_2_rhizoplane,4,sample,PowerSoil,SVERC.CELRK.pod.3.2.rhizoplane_S98_L001,FALSE
SVERC.CELRK.pod.3.2.rhizosphere_S32_L001,59,SVERC,CELRK,pod,3,2,8/23/18,rhizosphere,SVERC_CELRK_pod_3_2_rhizosphere,4,sample,PowerSoil,SVERC.CELRK.pod.3.2.rhizosphere_S32_L001,FALSE
SVERC.CELRK.V2.1.3.rhizoplane_S54_L001,133,SVERC,CELRK,V2,1,3,7/6/18,rhizoplane,SVERC_CELRK_V2_1_3_rhizoplane,1,sample,PowerSoil,SVERC.CELRK.V2.1.3.rhizoplane_S54_L001,FALSE
SVERC.CELRK.V2.1.3.rhizosphere_S67_L001,8,SVERC,CELRK,V2,1,3,7/6/18,rhizosphere,SVERC_CELRK_V2_1_3_rhizosphere,1,sample,PowerSoil,SVERC.CELRK.V2.1.3.rhizosphere_S67_L001,FALSE
SVERC.CELRK.V2.2.2.rhizoplane_S49_L001,134,SVERC,CELRK,V2,2,2,7/6/18,rhizoplane,SVERC_CELRK_V2_2_2_rhizoplane,1,sample,PowerSoil,SVERC.CELRK.V2.2.2.rhizoplane_S49_L001,FALSE
SVERC.CELRK.V2.2.2.rhizosphere_S6_L001,9,SVERC,CELRK,V2,2,2,7/6/18,rhizosphere,SVERC_CELRK_V2_2_2_rhizosphere,1,sample,PowerSoil,SVERC.CELRK.V2.2.2.rhizosphere_S6_L001,FALSE
SVERC.CELRK.V2.2.3.rhizoplane_S36_L001,135,SVERC,CELRK,V2,2,3,7/6/18,rhizoplane,SVERC_CELRK_V2_2_3_rhizoplane,1,sample,PowerSoil,SVERC.CELRK.V2.2.3.rhizoplane_S36_L001,FALSE
SVERC.CELRK.V2.2.3.rhizosphere_S113_L001,10,SVERC,CELRK,V2,2,3,7/6/18,rhizosphere,SVERC_CELRK_V2_2_3_rhizosphere,1,sample,PowerSoil,SVERC.CELRK.V2.2.3.rhizosphere_S113_L001,FALSE
SVERC.CELRK.V5.1.1.rhizoplane_S33_L001,144,SVERC,CELRK,V5,1,1,7/6/18,rhizoplane,SVERC_CELRK_V5_1_1_rhizoplane,2,sample,PowerSoil,SVERC.CELRK.V5.1.1.rhizoplane_S33_L001,FALSE
SVERC.CELRK.V5.1.1.rhizosphere_S64_L001,19,SVERC,CELRK,V5,1,1,7/6/18,rhizosphere,SVERC_CELRK_V5_1_1_rhizosphere,2,sample,PowerSoil,SVERC.CELRK.V5.1.1.rhizosphere_S64_L001,FALSE
SVERC.CELRK.V5.1.2.rhizosphere_S59_L001,20,SVERC,CELRK,V5,1,2,7/6/18,rhizosphere,SVERC_CELRK_V5_1_2_rhizosphere,2,sample,PowerSoil,SVERC.CELRK.V5.1.2.rhizosphere_S59_L001,FALSE
SVERC.CELRK.V5.1.3.rhizoplane_S16_L001,146,SVERC,CELRK,V5,1,3,7/6/18,rhizoplane,SVERC_CELRK_V5_1_3_rhizoplane,2,sample,PowerSoil,SVERC.CELRK.V5.1.3.rhizoplane_S16_L001,FALSE
SVERC.CELRK.V5.1.3.rhizosphere_S115_L001,21,SVERC,CELRK,V5,1,3,7/6/18,rhizosphere,SVERC_CELRK_V5_1_3_rhizosphere,2,sample,PowerSoil,SVERC.CELRK.V5.1.3.rhizosphere_S115_L001,FALSE
SVERC.CELRK.V5.2.1.rhizoplane_S2_L001,147,SVERC,CELRK,V5,2,1,7/6/18,rhizoplane,SVERC_CELRK_V5_2_1_rhizoplane,2,sample,PowerSoil,SVERC.CELRK.V5.2.1.rhizoplane_S2_L001,FALSE
